Designator,Footprint,Quantity,Value,LCSC Part #
"5V_1, GND_1, OUT4, SCL1, SDA1, VOL+1, VOL-1",SolderWirePad_1x01_SMD_1x2mm,7,SOLDERJUMPERREFLOW_NOPASTE,
BAT_IN_1,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,1,JST 2-PH,
"C1, C2, C3, C4, C8",0603,5,10uF,
"C10, C9",0603,2,220pF,
C11,0603,1,0.1uF,
C12,0805,1,10uF,
C13,0805,1,0.1uF,
C14,Resistor_0805,1,2.2uF,
C15,1210,1,100uF,
"C16, C17",Resistor_0805,2,10uF,
"CHN_DOWN1, CHN_UP1, VOL_DOWN1, VOL_UP1",TS-KG87S,4,SW_Push_Dual,
CHRG/LBO1,LED_0805,1,ORANGE,
"D1, D10, D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D11, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D12, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D13, D130, D131, D132, D133, D134, D135, D14, D145, D146, D147, D148, D149, D15, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D16, D160, D161, D162, D163, D164, D165, D166, D167, D168, D169, D17, D170, D171, D172, D173, D174, D175, D176, D177, D178, D179, D18, D180, D181, D182, D183, D184, D185, D186, D187, D188, D189, D19, D190, D191, D192, D193, D194, D195, D196, D197, D198, D199, D2, D20, D200, D201, D202, D203, D204, D205, D206, D207, D21, D217, D218, D219, D22, D220, D221, D222, D223, D224, D225, D226, D227, D228, D229, D23, D230, D231, D232, D233, D234, D235, D236, D237, D238, D239, D24, D240, D241, D242, D243, D244, D245, D246, D247, D248, D249, D25, D250, D251, D252, D253, D254, D255, D256, D257, D258, D259, D26, D260, D261, D262, D263, D264, D265, D266, D267, D268, D269, D27, D270, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51",0402,200,0402 LED,
"D332, D333, D334",D_SOD-323,3,1N4148,
"D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D7, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",0402,43,0402 LED,
DONE1,LED_0805,1,GREEN,
"DOWN_U5, UP_U4",SOT-23,2,A3144,
"FB1, FB2",Resistor_0805,2,~,
IC1,SSOP-24_3.9x8.7mm_P0.635mm,1,HT16K33 SSOP,
"IC2, IC3, IC4",SSOP-24_3.9x8.7mm_P0.635mm,3,HT16K33,
J1,PinSocket_2x20_P2.54mm_Vertical_SMD,1,GPIO,
J4,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,1,Power,
J5,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,1,USB_IN,
J6,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
L1,L_APV_ANR5045,1,6.8uH,
LED1,LED_0805,1,RED,
LED2,LED_0805,1,BLUE,
"LS1, LS2",AS01506MS,2,Speaker,
MK1,InvenSense_ICS-43434-6_3.5x2.65mm,1,ICS-43434,
"R10, R11, R8, R9",0603,4,47K,
"R12, R13, R3, R4",Resistor_0402,4,10K,
R14,Resistor_0805,1,340K,
"R15, R21",Resistor_0805,2,200K,
R16,0805,1,10K,
R17,0805,1,47K,
R18,0805,1,68,
"R20, R7",Resistor_0805,2,1.87M,
"R22, R23",Resistor_0805,2,1K,
"R24, R25",0805,2,1K,
R26,Resistor_0805,1,270K,
"R27, R29",0805,2,100K,
R28,0805,1,1.0K,
R6,Resistor_0402,1,1M?,
SW2,XKB5858-Z-F-75,1,KILL_SWITCH,
SW3,SW_SPDT_PCM12,1,Wake,
T1,SC-59,1,MMUN2133LT1G,
THERM1,Resistor_0805,1,15K,
U2,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,
U4,Texas_RSA_VQFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm_ThermalVias,1,TPS61090RSAR,
U5,Texas_RGP0020H_VQFN-20-1EP_4x4mm_P0.5mm_EP2.4x2.4mm,1,MCP73871,
VO+1,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,1,VO-,
